posting_id,company_name,title,canonical_url,location,employment_type,remote_type,minimum_years,salary_minimum,salary_maximum,summary,first_seen_at,last_updated,is_active
31113c79-a725-440e-a9cd-9ee90fb426b2,2K,Junior Level Designer,https://job-boards.greenhouse.io/2k/jobs/7767175003,"Nova Scotia, Canada",,,2,,,,2026-06-24,2026-07-04 18:25:26.797761+00:00,TRUE
97df15bb-b1f8-49ee-8455-d014cdaccfdb,2K,Senior Gameplay Designer,https://job-boards.greenhouse.io/2k/jobs/7512739003,"Burnaby, British Columbia, Canada",,,,,,,2026-06-22,2026-07-04 18:25:26.797761+00:00,TRUE
c80006f2-fb1b-468d-87aa-cf058fe7ff7d,2K,Senior Gameplay Designer,https://job-boards.greenhouse.io/2k/jobs/7682048003,"Brighton, England, United Kingdom",,,,,,,2026-06-22,2026-07-04 18:25:26.797761+00:00,TRUE
b41784a5-2bc1-48aa-99ac-4b975d2da3fe,2K,Senior Mission Designer,https://job-boards.greenhouse.io/2k/jobs/7760458003,"Brighton, England, United Kingdom",,,,,,,2026-06-22,2026-07-04 18:25:26.797761+00:00,TRUE
69d7ae4c-b81f-489c-8fc2-db61191c9a53,Absurd Ventures,Gameplay Designer,https://www.absurdventures.com/careers#5020696007,"Santa Monica, California, United States",,onsite,,,,,2026-06-22,2026-07-04 18:25:26.797761+00:00,TRUE
d0c5df5c-2794-4cf3-9de5-9261f8f56108,Absurd Ventures,Principal / Lead Gameplay Designer,https://job-boards.greenhouse.io/absurdventures/jobs/5020696007,Santa Monica,,,5,145000,180000,,2026-06-22,2026-07-04 18:25:26.797761+00:00,TRUE
ae81ad9d-d30e-42bc-aa28-3f708619277e,Activision,Lead - Quest Designer,https://hitmarker.net/jobs/activision-lead-quest-designer-1784006,"Warsaw, Poland | Malmö, Sweden",freelance,,,,,,2026-07-02,2026-07-04 18:25:26.797761+00:00,TRUE
c2a2e545-a78e-4209-90f7-f5387e34bcf3,Activision,Quest Designer,https://hitmarker.net/jobs/activision-quest-designer-1723908,"Warsaw, Poland | Malmö, Sweden",freelance,,,,,,2026-06-18,2026-07-04 18:25:26.797761+00:00,TRUE
c487cd8b-5da1-49a6-b3e6-dfcad92c60df,Activision,Senior Quest Designer,https://hitmarker.net/jobs/activision-senior-quest-designer-1855795,"Warsaw, Poland",freelance,,,,,,2026-07-04,2026-07-04 18:25:26.797761+00:00,TRUE
4063e0fe-715c-48bf-a6c7-d06360147da6,Amanotes,[UPLIVE Company] LEVEL DESIGNER (MUSIC GAME),https://jobs.lever.co/amanotes/c8deafe4-2090-4103-bfde-d1e64e8bc146,"Ho Chi Minh City, Vietnam",,onsite,,,,,2026-06-22,2026-07-04 18:25:26.797761+00:00,TRUE
7663f217-bd2e-488b-b787-c98efc454258,Amber,Level Designer,https://jobs.jobvite.com/amberstudiocareers/job/ouXOsfwr,"Bucharest, Romania",,remote,,,,,2026-06-22,2026-07-04 18:25:26.797761+00:00,TRUE
37dc0c87-5e59-44d9-a682-78244bacce3d,Angry Mob Games,Gameplay Designer,https://www.angrymobgames.com/project/gameplay-designer/,Worldwide,full-time,remote,,,,,2026-06-22,2026-07-04 18:25:26.797761+00:00,TRUE
b8dcbf53-11d0-4cac-8c0b-4a668486f456,Arcanaut Studios,Level Designer,https://arcanautstudios.applytojobs.ca/design/47377,"Edmonton, Alberta, Canada",,hybrid,,,,Must be based in either Alberta or BC,2026-06-22,2026-07-04 18:25:26.797761+00:00,TRUE
540328d9-e0c2-4689-957c-4ddf53c1a417,Asobo Studio,Level Designer H/F (Projet narratif non annoncé),https://jobs.eu.lever.co/asobostudio/3edcc5db-2619-4c98-98d1-81778e6c4e66,Bordeaux,,onsite,,,,,2026-06-22,2026-07-04 18:25:26.797761+00:00,TRUE
